species_indonesia,species_english,nama_latin,nama_daerah,kelompok,jenis_perairan,jenis_konsumsi,jenis_hias,jenis_dilindungi,prioritas,search_keywords,min_images
Belida lopis,giant featherback,Chitala lopis,belida; belida jawa; balidra; lopis,Belida,TAWAR,KONSUMSI,"HIAS, NON HIAS",TIDAK,LOW,Chitala lopis ; Chitala lopis fish ; ikan Belida lopis ; giant featherback fish,100
Belida lopis,clown knifefish,Chitala chitala,pangaju; pipih (kalimantan); belida; belido (jambu; sumatera selatan,Belida,TAWAR,KONSUMSI,HIAS,TIDAK,LOW,Chitala chitala ; Chitala chitala fish ; ikan Belida lopis ; clown knifefish fish,100
Belida putak,bronze featherback,Notopterus notopterus,belida putak (sumatera selatan); calon induk belida; pipih,Belida,TAWAR,KONSUMSI,"HIAS, NON HIAS",TIDAK,LOW,Notopterus notopterus ; Notopterus notopterus fish ; ikan Belida putak ; bronze featherback fish,100
Belly-spotted pygmy-goby,storthynx dwarf goby,Eviota storthynx,,Gobi,LAUT,KONSUMSI,NON HIAS,TIDAK,LOW,Eviota storthynx ; Eviota storthynx fish ; ikan Belly-spotted pygmy-goby ; storthynx dwarf goby fish,100
Belodok,monster shrimp goby,Tomiyamichthys oni,belodok,Gobi,"LAUT, PAYAU",NON KONSUMSI,HIAS,TIDAK,LOW,Tomiyamichthys oni ; Tomiyamichthys oni fish ; ikan Belodok ; monster shrimp goby fish,100
Beloso,longfin lizardfish,Saurida longimanus,bitak belande,Beloso,LAUT,KONSUMSI,NON HIAS,TIDAK,LOW,Saurida longimanus ; Saurida longimanus fish ; ikan Beloso ; longfin lizardfish fish,100
Beloso,bigscale lizardfish,Saurida macrolepis,bitak belande; beloso,Beloso,LAUT,KONSUMSI,NON HIAS,TIDAK,LOW,Saurida macrolepis ; Saurida macrolepis fish ; ikan Beloso ; bigscale lizardfish fish,100
Beloso,greater lizardish,Saurida tumbil,beloso,Beloso,LAUT,KONSUMSI,NON HIAS,TIDAK,LOW,Saurida tumbil ; Saurida tumbil fish ; ikan Beloso ; greater lizardish fish,100
Beloso,brushtooth lizardfish,Saurida undosquamis,beloso,Beloso,LAUT,KONSUMSI,NON HIAS,TIDAK,LOW,Saurida undosquamis ; Saurida undosquamis fish ; ikan Beloso ; brushtooth lizardfish fish,100
Beloso,lighthouse lizardfish,Synodus jaculum,bitak belande; beloso; jabingan tokek heri,Beloso,LAUT,KONSUMSI,NON HIAS,TIDAK,LOW,Synodus jaculum ; Synodus jaculum fish ; ikan Beloso ; lighthouse lizardfish fish,100
Beloso,largehead lizardfish,Synodus macrocephalus,beloso,Beloso,LAUT,KONSUMSI,NON HIAS,TIDAK,LOW,Synodus macrocephalus ; Synodus macrocephalus fish ; ikan Beloso ; largehead lizardfish fish,100
Beloso,clearfin lizardfish; sand lizardfish,Synodus dermatogenys,bitak belande; beloso,Beloso,LAUT,KONSUMSI,NON HIAS,TIDAK,LOW,Synodus dermatogenys ; Synodus dermatogenys fish ; ikan Beloso ; clearfin lizardfish; sand lizardfish fish,100
Belut kuhli,kuhli loach,Pangio malayana,cacing (batanghari jambi); tali tali,Tali tali,TAWAR,NON KONSUMSI,HIAS,TIDAK,LOW,Pangio malayana ; Pangio malayana fish ; ikan Belut kuhli ; kuhli loach fish,100
Belut listrik,electric eel,Electrophorus electricus,,Belut,TAWAR,KONSUMSI,HIAS,TIDAK,LOW,Electrophorus electricus ; Electrophorus electricus fish ; ikan Belut listrik ; electric eel fish,100
Belut moray,undulated moray,Gymnothorax undulatus,remang putih,Belut,"LAUT, PAYAU",KONSUMSI,NON HIAS,TIDAK,LOW,Gymnothorax undulatus ; Gymnothorax undulatus fish ; ikan Belut moray ; undulated moray fish,100
Belut sawah,asian swamp eel; swamp eel,Monopterus albus,boluk; welut; moa; lindung,Belut,TAWAR,KONSUMSI,NON HIAS,TIDAK,LOW,Monopterus albus ; Monopterus albus fish ; ikan Belut sawah ; asian swamp eel; swamp eel fish,100
Berang-berang cakar kecil,oriental; asian small-clawed otter,Amblonyx cinere,sero ambrang,Berang-berang,TAWAR,NON KONSUMSI,NON HIAS,TIDAK,LOW,Amblonyx cinere ; Amblonyx cinere fish ; ikan Berang-berang cakar kecil ; oriental; asian small-clawed otter fish,100
Berbaju,snakeskin barb,Desmopuntius rhomboocellatus,bebaju (kalbar),Barbus,TAWAR,NON KONSUMSI,HIAS,TIDAK,LOW,Desmopuntius rhomboocellatus ; Desmopuntius rhomboocellatus fish ; ikan Berbaju ; snakeskin barb fish,100
Bertengger,chinese perch; mandarin fish,Siniperca chuatsi,,Mandarin,TAWAR,NON KONSUMSI,HIAS,TIDAK,LOW,Siniperca chuatsi ; Siniperca chuatsi fish ; ikan Bertengger ; chinese perch; mandarin fish fish,100
Berukung,sucker barb,Barbichthys laevis,berukung; batu hulu (sumsel),Barbus,TAWAR,KONSUMSI,NON HIAS,TIDAK,LOW,Barbichthys laevis ; Barbichthys laevis fish ; ikan Berukung ; sucker barb fish,100
Betok,banded damsel fish,Dischistodus fasciatus,padi-padi; tibok,Betok,LAUT,KONSUMSI,NON HIAS,TIDAK,LOW,Dischistodus fasciatus ; Dischistodus fasciatus fish ; ikan Betok ; banded damsel fish fish,100
Betok,cross' damselfish ; red chromis,Neoglyphidodon crossi,,Betok,LAUT,KONSUMSI,HIAS,TIDAK,LOW,Neoglyphidodon crossi ; Neoglyphidodon crossi fish ; ikan Betok ; cross' damselfish ; red chromis fish,100
Betok abu abu,blue damsel; grey demoiselle; gray demoiselleÂ,Chrysiptera glauca,,Betok,LAUT,KONSUMSI,HIAS,TIDAK,LOW,Chrysiptera glauca ; Chrysiptera glauca fish ; ikan Betok abu abu ; blue damsel; grey demoiselle; gray demoiselleÂ fish,100
Betok alpha,alpha chromis; yellow-speckled chromis,Chromis alpha,,Betok,LAUT,KONSUMSI,NON HIAS,TIDAK,LOW,Chromis alpha ; Chromis alpha fish ; ikan Betok alpha ; alpha chromis; yellow-speckled chromis fish,100
Betok blunt snout gregory,blunt snout gregory,Stegastes punctatus,tibok; padi-padi,Betok,LAUT,KONSUMSI,NON HIAS,TIDAK,LOW,Stegastes punctatus ; Stegastes punctatus fish ; ikan Betok blunt snout gregory ; blunt snout gregory fish,100
Betok laut,indian basslet,Liopropoma randalli,betok laut,Betok,LAUT,KONSUMSI,NON HIAS,TIDAK,LOW,Liopropoma randalli ; Liopropoma randalli fish ; ikan Betok laut ; indian basslet fish,100
Betok laut,silver demoiselle,Neopomacentrus anabatoides,,Betok,LAUT,KONSUMSI,NON HIAS,TIDAK,LOW,Neopomacentrus anabatoides ; Neopomacentrus anabatoides fish ; ikan Betok laut ; silver demoiselle fish,100
Betok miang,blue-spot damsel; bluespot damselÂ,Pomacentrus grammorhynchus,,Betok,LAUT,KONSUMSI,HIAS,TIDAK,LOW,Pomacentrus grammorhynchus ; Pomacentrus grammorhynchus fish ; ikan Betok miang ; blue-spot damsel; bluespot damselÂ fish,100
Betok philippines,philippines chromis,Chromis scotochilopterus,,Betok,LAUT,KONSUMSI,NON HIAS,TIDAK,LOW,Chromis scotochilopterus ; Chromis scotochilopterus fish ; ikan Betok philippines ; philippines chromis fish,100
Betok putih,white damsel fish,Dischistodus perspicillatus,tibok; padi-padi,Betok,"LAUT, PAYAU",KONSUMSI,NON HIAS,TIDAK,LOW,Dischistodus perspicillatus ; Dischistodus perspicillatus fish ; ikan Betok putih ; white damsel fish fish,100
Betok putih strip,banded damsel fish,Dischistodus fasciatus,padi-padi; tibok,Betok,LAUT,KONSUMSI,NON HIAS,TIDAK,LOW,Dischistodus fasciatus ; Dischistodus fasciatus fish ; ikan Betok putih strip ; banded damsel fish fish,100
Betok scaly,scaly damsel fish,Pomacentrus lepidogenys,betok jun,Betok,LAUT,KONSUMSI,NON HIAS,TIDAK,LOW,Pomacentrus lepidogenys ; Pomacentrus lepidogenys fish ; ikan Betok scaly ; scaly damsel fish fish,100
Betok smokey,smokey chromis,Chromis fumea,,Betok,LAUT,KONSUMSI,"HIAS, NON HIAS",TIDAK,LOW,Chromis fumea ; Chromis fumea fish ; ikan Betok smokey ; smokey chromis fish,100
Betok smoky,smoky damsel fish,Pomacentrus littoralis,tibok; padi-padi,Betok,"LAUT, PAYAU",KONSUMSI,NON HIAS,TIDAK,LOW,Pomacentrus littoralis ; Pomacentrus littoralis fish ; ikan Betok smoky ; smoky damsel fish fish,100
Betok spiny,spiny chromis,Acanthochromis polyacanthus,,Betok,LAUT,KONSUMSI,NON HIAS,TIDAK,LOW,Acanthochromis polyacanthus ; Acanthochromis polyacanthus fish ; ikan Betok spiny ; spiny chromis fish,100
Betok threespot,threespot damsel fish,Pomacentrus tripunctatus,tibok; padi-padi,Betok,"LAUT, PAYAU",KONSUMSI,NON HIAS,TIDAK,LOW,Pomacentrus tripunctatus ; Pomacentrus tripunctatus fish ; ikan Betok threespot ; threespot damsel fish fish,100
Betta akar,akar betta,Betta akarensis,tampala (kalimantan),Cupang,TAWAR,NON KONSUMSI,HIAS,TIDAK,LOW,Betta akarensis ; Betta akarensis fish ; ikan Betta akar ; akar betta fish,100
Betta albimarginata,betta albimarginata,Betta albimarginata,bettah (kaltim),Cupang,TAWAR,NON KONSUMSI,HIAS,TIDAK,LOW,Betta albimarginata ; Betta albimarginata fish ; ikan Betta albimarginata ; betta albimarginata fish,100
Betta hijau zamrud,blue betta,Betta smaragdina,,Cupang,TAWAR,NON KONSUMSI,HIAS,TIDAK,LOW,Betta smaragdina ; Betta smaragdina fish ; ikan Betta hijau zamrud ; blue betta fish,100
Betta palifina,betta palifina,Betta pallifina,empala (kalimantan tengah),Cupang,TAWAR,NON KONSUMSI,HIAS,TIDAK,LOW,Betta pallifina ; Betta pallifina fish ; ikan Betta palifina ; betta palifina fish,100
Betutu,trahira,Hoplias malabaricus,,Rainbow,TAWAR,KONSUMSI,NON HIAS,TIDAK,LOW,Hoplias malabaricus ; Hoplias malabaricus fish ; ikan Betutu ; trahira fish,100
Betutu,marble goby,Oxyeleotris marmorata,betutu; bekuru; bakut; malas,Gobi,TAWAR,KONSUMSI,"HIAS, NON HIAS",TIDAK,LOW,Oxyeleotris marmorata ; Oxyeleotris marmorata fish ; ikan Betutu ; marble goby fish,100
Bia babi,tiger cowrie,Cypraea tigris,keong totol coklat,Siput,"LAUT, PAYAU, TAWAR",KONSUMSI,NON HIAS,TIDAK,LOW,Cypraea tigris ; Cypraea tigris fish ; ikan Bia babi ; tiger cowrie fish,100
Bichir,guinean bichir,Polypterus ansorgii,,Bichir,TAWAR,NON KONSUMSI,HIAS,TIDAK,LOW,Polypterus ansorgii ; Polypterus ansorgii fish ; ikan Bichir ; guinean bichir fish,100
Bichir,nile bichir,Polypterus bichir,,Bichir,TAWAR,NON KONSUMSI,HIAS,TIDAK,LOW,Polypterus bichir ; Polypterus bichir fish ; ikan Bichir ; nile bichir fish,100
Bichir,saddled bichir,Polypterus endlicheri,,Bichir,TAWAR,NON KONSUMSI,HIAS,TIDAK,LOW,Polypterus endlicheri ; Polypterus endlicheri fish ; ikan Bichir ; saddled bichir fish,100
Bichir,mokÃ¨lÃ©-mbÃ¨mbÃ© bichir,Polypterus mokelembembe,,Bichir,TAWAR,NON KONSUMSI,HIAS,TIDAK,LOW,Polypterus mokelembembe ; Polypterus mokelembembe fish ; ikan Bichir ; mokÃ¨lÃ©-mbÃ¨mbÃ© bichir fish,100
Bichir,shortfin bichir; marbled bichir; green polypterus,Polypterus palmas,,Bichir,TAWAR,NON KONSUMSI,HIAS,TIDAK,LOW,Polypterus palmas ; Polypterus palmas fish ; ikan Bichir ; shortfin bichir; marbled bichir; green polypterus fish,100
Bichir,polli bichir,Polypterus polli,,Bichir,TAWAR,NON KONSUMSI,HIAS,TIDAK,LOW,Polypterus polli ; Polypterus polli fish ; ikan Bichir ; polli bichir fish,100
Bichir,gray bichir; senegal bichir,Polypterus senegalus,,Bichir,TAWAR,NON KONSUMSI,HIAS,TIDAK,LOW,Polypterus senegalus ; Polypterus senegalus fish ; ikan Bichir ; gray bichir; senegal bichir fish,100
Bichir,mottled bichir,Polypterus weeksii,,Bichir,TAWAR,NON KONSUMSI,HIAS,TIDAK,LOW,Polypterus weeksii ; Polypterus weeksii fish ; ikan Bichir ; mottled bichir fish,100
Bichir,armored bichir,Polypterus delhezi,,Bichir,TAWAR,NON KONSUMSI,HIAS,TIDAK,LOW,Polypterus delhezi ; Polypterus delhezi fish ; ikan Bichir ; armored bichir fish,100
Bichir,congo bichir,Polypterus congicus,,Bichir,TAWAR,NON KONSUMSI,"HIAS, NON HIAS",TIDAK,LOW,Polypterus congicus ; Polypterus congicus fish ; ikan Bichir ; congo bichir fish,100
Bichir ornate,ornate bichir,Polypterus ornatipinnis,,Bichir,TAWAR,NON KONSUMSI,HIAS,TIDAK,LOW,Polypterus ornatipinnis ; Polypterus ornatipinnis fish ; ikan Bichir ornate ; ornate bichir fish,100
Big-toothed goby,largetooth goby,Macrodontogobius wilburi,,Gobi,"LAUT, PAYAU",KONSUMSI,NON HIAS,TIDAK,LOW,Macrodontogobius wilburi ; Macrodontogobius wilburi fish ; ikan Big-toothed goby ; largetooth goby fish,100
Biji nangka,freckled goatfish,Upeneus tragula,kuniran; kakunir; tapulan; ikan janggut; salmaniti; gantuk; ian putian mata; manusu; pogot; mea-mea; karang jonggot; nyanggih; ciko-ciko peo; lamutu tapapulan,"Bijinangka, jenggot",LAUT,KONSUMSI,NON HIAS,TIDAK,LOW,Upeneus tragula ; Upeneus tragula fish ; ikan Biji nangka ; freckled goatfish fish,100
Biji nangka,yellow banded goatfish,Upeneus vittatus,biji nangka; salmaneta; ian puti armal; pogot; janggo-janggo; tiko; gasar; nyanggih; ciko-ciko batu; lamotu; bulu ade; tiko-tiko; samaneti; tapapulan,"Bijinangka, jenggot",LAUT,KONSUMSI,NON HIAS,TIDAK,LOW,Upeneus vittatus ; Upeneus vittatus fish ; ikan Biji nangka ; yellow banded goatfish fish,100
Biji nangka,goldband goatfish,Upeneus moluccensis,,Siput,"LAUT, PAYAU, TAWAR",KONSUMSI,HIAS,TIDAK,LOW,Upeneus moluccensis ; Upeneus moluccensis fish ; ikan Biji nangka ; goldband goatfish fish,100
Biji nangka karang,das and dot goatfish,Parupeneus barberinus,pogot; mia-mia; ocimin; biji nangka; nyanggih; mangkoneng; cika-cika peo; lamotu; kerisi,"Bijinangka, jenggot",LAUT,KONSUMSI,NON HIAS,TIDAK,LOW,Parupeneus barberinus ; Parupeneus barberinus fish ; ikan Biji nangka karang ; das and dot goatfish fish,100
Bijinangka jepang,japanese goatfish,Upeneus japonicus,dayah jenggot; ciko-ciko; gelang mudin,"Bijinangka, jenggot",LAUT,KONSUMSI,NON HIAS,TIDAK,LOW,Upeneus japonicus ; Upeneus japonicus fish ; ikan Bijinangka jepang ; japanese goatfish fish,100
Bijinangka karang,indian goatfish,Parupeneus indicus,pogot; mia-mia; jajanggo; nyanggih; mengkoneng; cika-cika peko; lamotu; kerisi,"Bijinangka, jenggot","LAUT, PAYAU",KONSUMSI,NON HIAS,TIDAK,LOW,Parupeneus indicus ; Parupeneus indicus fish ; ikan Bijinangka karang ; indian goatfish fish,100
Bijinangka mawar,rosy goatfish,Parupeneus rubescens,dayah jenggot; ciko-ciko; jenggotan,"Bijinangka, jenggot",LAUT,KONSUMSI,NON HIAS,TIDAK,LOW,Parupeneus rubescens ; Parupeneus rubescens fish ; ikan Bijinangka mawar ; rosy goatfish fish,100
Bijinangka sisik ular,snakeskin goatfish; two-tone goatfish,Upeneus guttatus,dayah jenggot; ciko-ciko; gelang mudin,"Bijinangka, jenggot",LAUT,KONSUMSI,NON HIAS,TIDAK,LOW,Upeneus guttatus ; Upeneus guttatus fish ; ikan Bijinangka sisik ular ; snakeskin goatfish; two-tone goatfish fish,100
Bijinangka tak-simetris,asymmetrical goatfish,Upeneus asymmetricus,dayah jenggot; ciko-ciko; gelang mudin,"Bijinangka, jenggot",LAUT,KONSUMSI,NON HIAS,TIDAK,LOW,Upeneus asymmetricus ; Upeneus asymmetricus fish ; ikan Bijinangka tak-simetris ; asymmetrical goatfish fish,100
Bilih,bilih,Mystacoleucus padangensis,bilih,Bilih,TAWAR,KONSUMSI,HIAS,TIDAK,LOW,Mystacoleucus padangensis ; Mystacoleucus padangensis fish ; ikan Bilih ; bilih fish,100
Bilis,kapuas river sprat,Clupeichthys bleekeri,bilis mayang (kalimantan barat),Bilis,TAWAR,KONSUMSI,NON HIAS,TIDAK,LOW,Clupeichthys bleekeri ; Clupeichthys bleekeri fish ; ikan Bilis ; kapuas river sprat fish,100
Bilis,sumatran river sprat,Clupeichthys goniognathus,bilis tamban; bunga air (riau),Bilis,TAWAR,KONSUMSI,NON HIAS,TIDAK,LOW,Clupeichthys goniognathus ; Clupeichthys goniognathus fish ; ikan Bilis ; sumatran river sprat fish,100
Bilis,borneo river sprat,Clupeoides borneensis,,Bilis,"PAYAU, TAWAR",KONSUMSI,NON HIAS,TIDAK,LOW,Clupeoides borneensis ; Clupeoides borneensis fish ; ikan Bilis ; borneo river sprat fish,100
Bilis mayang,kapuas river sprat,Clupeichthys bleekeri,bilis mayang (kalimantan barat),Bilis,TAWAR,KONSUMSI,NON HIAS,TIDAK,LOW,Clupeichthys bleekeri ; Clupeichthys bleekeri fish ; ikan Bilis mayang ; kapuas river sprat fish,100
Black dotted sand perch,black dotted sand perch,Parapercis millepunctata,toto,Grubfish,LAUT,KONSUMSI,NON HIAS,TIDAK,LOW,Parapercis millepunctata ; Parapercis millepunctata fish ; ikan Black dotted sand perch ; black dotted sand perch fish,100
Black towuti goby,black towuti goby,Mugilogobius hitam,,Gobi,TAWAR,NON KONSUMSI,NON HIAS,TIDAK,LOW,Mugilogobius hitam ; Mugilogobius hitam fish ; ikan Black towuti goby ; black towuti goby fish,100
Black-banded goby,saddled goby,Callogobius clitellus,,Gobi,LAUT,KONSUMSI,NON HIAS,TIDAK,LOW,Callogobius clitellus ; Callogobius clitellus fish ; ikan Black-banded goby ; saddled goby fish,100
Black-coral goby,black coral goby,Bryaninops tigris,,Gobi,LAUT,KONSUMSI,NON HIAS,TIDAK,LOW,Bryaninops tigris ; Bryaninops tigris fish ; ikan Black-coral goby ; black coral goby fish,100
Black-line shrimp-goby,black-line shrimp-goby,Myersina nigrivirgata,,Gobi,LAUT,KONSUMSI,NON HIAS,TIDAK,LOW,Myersina nigrivirgata ; Myersina nigrivirgata fish ; ikan Black-line shrimp-goby ; black-line shrimp-goby fish,100
Black-tail grubfish,speckled sandperch,Parapercis hexophthalma,toto; jabing tokek,Grubfish,LAUT,KONSUMSI,HIAS,TIDAK,LOW,Parapercis hexophthalma ; Parapercis hexophthalma fish ; ikan Black-tail grubfish ; speckled sandperch fish,100
Blue lined squirrelfish,blue lined squirrelfish,Sargocentron tiere,rengginan; ungang; merek batu,Squirrelfish,LAUT,KONSUMSI,NON HIAS,TIDAK,LOW,Sargocentron tiere ; Sargocentron tiere fish ; ikan Blue lined squirrelfish ; blue lined squirrelfish fish,100
Blue-spotted pipefish,blue-spotted pipefish,Hippichthys cyanospilos,,Pipefish,"LAUT, PAYAU, TAWAR",KONSUMSI,NON HIAS,TIDAK,LOW,Hippichthys cyanospilos ; Hippichthys cyanospilos fish ; ikan Blue-spotted pipefish ; blue-spotted pipefish fish,100
Bole - bolekerang kulit,mauritia maculifera,Mauritia maculifera,,Kerang,"LAUT, PAYAU",KONSUMSI,NON HIAS,TIDAK,LOW,Mauritia maculifera ; Mauritia maculifera fish ; ikan Bole - bolekerang kulit ; mauritia maculifera fish,100
Bondol,splendid ponyfish,Eublekeeria splendens,peperek brondolan; dodok; gempar; bondol; peperek bondolan;,Peperek,"LAUT, PAYAU",KONSUMSI,NON HIAS,TIDAK,LOW,Eublekeeria splendens ; Eublekeeria splendens fish ; ikan Bondol ; splendid ponyfish fish,100
Bonito atlantic,atlantic bonito,Sarda sarda,,Tongkol,LAUT,KONSUMSI,NON HIAS,TIDAK,LOW,Sarda sarda ; Sarda sarda fish ; ikan Bonito atlantic ; atlantic bonito fish,100
Botana,finelined surgeonfish,Acanthurus grammoptilus,,Rainbow,LAUT,KONSUMSI,NON HIAS,TIDAK,LOW,Acanthurus grammoptilus ; Acanthurus grammoptilus fish ; ikan Botana ; finelined surgeonfish fish,100
Botana,blue spine unicorn fish,Naso unicornis,botana culah,Botana,LAUT,KONSUMSI,NON HIAS,TIDAK,LOW,Naso unicornis ; Naso unicornis fish ; ikan Botana ; blue spine unicorn fish fish,100
Botana,whitefin surgeonfish,Acanthurus albipectoralis,,Rainbow,LAUT,KONSUMSI,NON HIAS,TIDAK,LOW,Acanthurus albipectoralis ; Acanthurus albipectoralis fish ; ikan Botana ; whitefin surgeonfish fish,100
Botana,sohal surgeonfish,Acanthurus sohal,,Botana,LAUT,KONSUMSI,NON HIAS,TIDAK,LOW,Acanthurus sohal ; Acanthurus sohal fish ; ikan Botana ; sohal surgeonfish fish,100
Botana,sleek unicorn fish,Naso hexancanthus,,Botana,"LAUT, PAYAU",KONSUMSI,NON HIAS,TIDAK,LOW,Naso hexancanthus ; Naso hexancanthus fish ; ikan Botana ; sleek unicorn fish fish,100
Botana,thompson's surgeonfish,Acanthurus thompsoni,,Botana,"LAUT, PAYAU",KONSUMSI,HIAS,TIDAK,LOW,Acanthurus thompsoni ; Acanthurus thompsoni fish ; ikan Botana ; thompson's surgeonfish fish,100
Botana bireun,ocean surgeon; barber surgeonfish,Acanthurus bahianus,,Rainbow,LAUT,KONSUMSI,NON HIAS,TIDAK,LOW,Acanthurus bahianus ; Acanthurus bahianus fish ; ikan Botana bireun ; ocean surgeon; barber surgeonfish fish,100
Botana coklat,chocolate surgeonfish; mimic surgeonfish,Acanthurus pyroferus,lodem,Lodem,LAUT,KONSUMSI,HIAS,TIDAK,LOW,Acanthurus pyroferus ; Acanthurus pyroferus fish ; ikan Botana coklat ; chocolate surgeonfish; mimic surgeonfish fish,100
Botana striatus mata biru,twospot bristletooth,Ctenochaetus binotatus,dodoh (bajo),Lodem,LAUT,KONSUMSI,HIAS,TIDAK,LOW,Ctenochaetus binotatus ; Ctenochaetus binotatus fish ; ikan Botana striatus mata biru ; twospot bristletooth fish,100
Botia,clown loach,Chromobotia macracanthus,botia; langli; kejubang,Botia,TAWAR,KONSUMSI,HIAS,TIDAK,LOW,Chromobotia macracanthus ; Chromobotia macracanthus fish ; ikan Botia ; clown loach fish,100
Briarium pipefish,briarium pipefish,Apterygocampus epinnulatus,,Pipefish,LAUT,KONSUMSI,NON HIAS,TIDAK,LOW,Apterygocampus epinnulatus ; Apterygocampus epinnulatus fish ; ikan Briarium pipefish ; briarium pipefish fish,100
Broad-banded pipefish,broad-banded pipefish,Dunckerocampus boylei,,Pipefish,LAUT,KONSUMSI,NON HIAS,TIDAK,LOW,Dunckerocampus boylei ; Dunckerocampus boylei fish ; ikan Broad-banded pipefish ; broad-banded pipefish fish,100
Brock's pipefish,brock's pipefish,Halicampus brocki,,Pipefish,LAUT,KONSUMSI,NON HIAS,TIDAK,LOW,Halicampus brocki ; Halicampus brocki fish ; ikan Brock's pipefish ; brock's pipefish fish,100
Buarmata biru kuning,double whiptail,Pentapodus emeryii,jangki; kerisi,Kurisi,LAUT,KONSUMSI,NON HIAS,TIDAK,LOW,Pentapodus emeryii ; Pentapodus emeryii fish ; ikan Buarmata biru kuning ; double whiptail fish,100
Bulan-bulan,indo pasific tarpon,Megalops cyprinoides,haropas; ikan bulan (aceh),Bulan-bulan,"LAUT, PAYAU, TAWAR",KONSUMSI,NON HIAS,TIDAK,LOW,Megalops cyprinoides ; Megalops cyprinoides fish ; ikan Bulan-bulan ; indo pasific tarpon fish,100
Buli hitam,snakehead cowry,Monetaria caputserpentis,,Siput,"LAUT, PAYAU, TAWAR",KONSUMSI,NON HIAS,TIDAK,LOW,Monetaria caputserpentis ; Monetaria caputserpentis fish ; ikan Buli hitam ; snakehead cowry fish,100
Bulu ayam,hamiltons thrysssa,Thryssa hamiltonii,cangkang; bido; bulu ayam,Teri,"LAUT, PAYAU, TAWAR",KONSUMSI,NON HIAS,TIDAK,LOW,Thryssa hamiltonii ; Thryssa hamiltonii fish ; ikan Bulu ayam ; hamiltons thrysssa fish,100
Bulu babi,edible sea urchin,Echinus esculentus,bulu babi,Bulu babi,LAUT,KONSUMSI,NON HIAS,TIDAK,LOW,Echinus esculentus ; Echinus esculentus fish ; ikan Bulu babi ; edible sea urchin fish,100
Bungai air,kapuas river sprat,Clupeichthys bleekeri,bilis mayang (kalimantan barat),Bilis,TAWAR,KONSUMSI,NON HIAS,TIDAK,LOW,Clupeichthys bleekeri ; Clupeichthys bleekeri fish ; ikan Bungai air ; kapuas river sprat fish,100
Bunglon batik jepara,pink-speckled shrimpgoby,Cryptocentrus leptocephalus,,Gobi,LAUT,KONSUMSI,NON HIAS,TIDAK,LOW,Cryptocentrus leptocephalus ; Cryptocentrus leptocephalus fish ; ikan Bunglon batik jepara ; pink-speckled shrimpgoby fish,100
Bunglon muralis jakarta,mural goby,Valenciennea muralis,,Gobi,LAUT,KONSUMSI,NON HIAS,TIDAK,LOW,Valenciennea muralis ; Valenciennea muralis fish ; ikan Bunglon muralis jakarta ; mural goby fish,100
Bunglon sobri,ornate goby,Istigobius ornatus,,Gobi,LAUT,KONSUMSI,HIAS,TIDAK,LOW,Istigobius ornatus ; Istigobius ornatus fish ; ikan Bunglon sobri ; ornate goby fish,100
